Date,GOOGL Adj. Close,GOOGL P/S (LTM),GOOGL P/FCF (LTM),GOOGL P/E (LTM),GOOGL Debt/Equity (LTM),actual_returns,ps_sma_fast,ps_sma_slow,ps_ema_fast,ps_ema_slow,pfcf_sma_fast,pfcf_sma_slow,pfcf_ema_fast,pfcf_ema_slow,pe_sma_fast,pe_sma_slow,pe_ema_fast,pe_ema_slow,ps_RSI,ps_bb_upper,ps_bb_mid,ps_bb_lower,pfcf_RSI,pfcf_bb_upper,pfcf_bb_mid,pfcf_bb_lower,pe_RSI,pe_bb_upper,pe_bb_mid,pe_bb_lower,ps_Signal_sma,ps_Signal_ema,ps_Signal_bb_rsi,pfcf_Signal_sma,pfcf_Signal_ema,pfcf_Signal_bb_rsi,pe_Signal_sma,pe_Signal_ema,pe_Signal_bb_rsi,ps_Entry/Exit_sma,ps_Entry/Exit_ema,pfcf_Entry/Exit_sma,pfcf_Entry/Exit_ema,pe_Entry/Exit_sma,pe_Entry/Exit_ema,ps_Position_sma,ps_Position_ema,pfcf_Position_sma,pfcf_Position_ema,pe_Position_sma,pe_Position_ema,ps_Entry/Exit Position_sma,ps_Entry/Exit Position_ema,pfcf_Entry/Exit Position_sma,pfcf_Entry/Exit Position_ema,pe_Entry/Exit Position_sma,pe_Entry/Exit Position_ema,ps_Portfolio Holdings_sma,ps_Portfolio Holdings_ema,pfcf_Portfolio Holdings_sma,pfcf_Portfolio Holdings_ema,pe_Portfolio Holdings_sma,pe_Portfolio Holdings_ema,ps_Portfolio Cash_sma,ps_Portfolio Cash_ema,pfcf_Portfolio Cash_sma,pfcf_Portfolio Cash_ema,pe_Portfolio Cash_sma,pe_Portfolio Cash_ema,ps_Portfolio Total_sma,ps_Portfolio Total_ema,pfcf_Portfolio Total_sma,pfcf_Portfolio Total_ema,pe_Portfolio Total_sma,pe_Portfolio Total_ema,ps_Portfolio Daily Returns_sma,ps_Portfolio Daily Returns_ema,pfcf_Portfolio Daily Returns_sma,pfcf_Portfolio Daily Returns_ema,pe_Portfolio Daily Returns_sma,pe_Portfolio Daily Returns_ema,ps_Portfolio Cumulative Returns_sma,ps_Portfolio Cumulative Returns_ema,pfcf_Portfolio Cumulative Returns_sma,pfcf_Portfolio Cumulative Returns_ema,pe_Portfolio Cumulative Returns_sma,pe_Portfolio Cumulative Returns_ema
2019-01-02,52.734,5.624312583147244,31.9136181204614,39.41372981295773,,,,,5.624312583147244,5.624312583147244,,,31.9136181204614,31.9136181204614,,,39.41372981295773,39.41372981295773,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-03,51.2735,5.466324052446367,31.017155564075672,38.306586998518696,,-0.0276956043539273,,,5.595587395747084,5.621184097390791,,,31.750624928391268,31.895866386671585,,,39.21243111942336,39.39180619286983,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,,,,,,,,,,,,
2019-01-04,53.9035,5.753529497574423,32.64682403687683,40.3192485723093,,0.051293553199996,,,5.624304141533873,5.623804798384526,,,31.913570220843187,31.9107368351905,,,39.4136706563117,39.4101713885023,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,26951.75,0.0,26951.75,0.0,26951.75,100000.0,73048.25,100000.0,73048.25,100000.0,73048.25,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-07,53.796,5.741558031193692,32.5788952365535,40.23535562816376,,-0.0019943046369902,,,5.6456230305629305,5.626136545568865,,,32.034538405517786,31.923967694623432,,,39.56306792392117,39.42651167047579,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26898.0,0.0,26898.0,0.0,26898.0,100000.0,73048.25,100000.0,73048.25,100000.0,73048.25,100000.0,99946.25,100000.0,99946.25,100000.0,99946.25,0.0,-0.0005374999999999686,0.0,-0.0005374999999999686,0.0,-0.0005374999999999686,0.0,-0.0005374999999999686,0.0,-0.0005374999999999686,0.0,-0.0005374999999999686
2019-01-08,54.2685,5.787965514376357,32.84222176300957,40.56056728317413,,0.0087831809056435,,,5.671503482165371,5.629341079604657,,,32.181389925061744,31.94215094350236,,,39.74443144378534,39.44896821726189,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27134.25,0.0,27134.25,0.0,27134.25,100000.0,73048.25,100000.0,73048.25,100000.0,73048.25,100000.0,100182.5,100000.0,100182.5,100000.0,100182.5,0.0,0.002363770526658149,0.0,0.002363770526658149,0.0,0.002363770526658149,0.0,0.0018250000000001876,0.0,0.0018250000000001876,0.0,0.0018250000000001876
2019-01-09,54.0825,5.773697407881971,32.76126130869052,40.46058007833823,,-0.0034274026368887,,,5.690084195932025,5.632199620758663,,,32.28682108572152,31.95837095073381,,,39.87464028643132,39.469000135303006,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27041.25,0.0,27041.25,0.0,27041.25,100000.0,73048.25,100000.0,73048.25,100000.0,73048.25,100000.0,100089.5,100000.0,100089.5,100000.0,100089.5,0.0,-0.0009283058418386725,0.0,-0.0009283058418386725,0.0,-0.0009283058418386725,0.0,0.0008950000000000902,0.0,0.0008950000000000902,0.0,0.0008950000000000902
2019-01-10,53.9415,5.754530475559423,32.65250381172718,40.32626316747383,,-0.0026071279988907,,,5.701801701318824,5.6346220139230345,,,32.35330885408619,31.972116155902,,,39.95675353752995,39.48597564089055,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26970.75,0.0,26970.75,0.0,26970.75,100000.0,73048.25,100000.0,73048.25,100000.0,73048.25,100000.0,100019.0,100000.0,100019.0,100000.0,100019.0,0.0,-0.0007043695892176016,0.0,-0.0007043695892176016,0.0,-0.0007043695892176016,0.0,0.0001900000000001345,0.0,0.0001900000000001345,0.0,0.0001900000000001345
2019-01-11,53.2235,5.680913351939692,32.23478364849041,39.81037338057802,,-0.0133107162388883,,,5.698003819613527,5.63553867408178,,,32.33175881670513,31.97731749238889,,,39.93013896353869,39.49239935850812,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26611.75,0.0,26611.75,0.0,26611.75,100000.0,73048.25,100000.0,73048.25,100000.0,73048.25,100000.0,99660.0,100000.0,99660.0,100000.0,99660.0,0.0,-0.0035893180295744065,0.0,-0.0035893180295744065,0.0,-0.0035893180295744065,0.0,-0.0033999999999998476,0.0,-0.0033999999999998476,0.0,-0.0033999999999998476
2019-01-14,52.5755,5.612747577887977,31.84799567221567,39.332685243361794,,-0.0121750730410439,,,5.682502684754336,5.635087365246259,,,32.24380188134341,31.974756664266653,,,39.82151101441561,39.489236702762646,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26287.75,0.0,26287.75,0.0,26287.75,100000.0,73048.25,100000.0,73048.25,100000.0,73048.25,100000.0,99336.0,100000.0,99336.0,100000.0,99336.0,0.0,-0.003251053582179364,0.0,-0.003251053582179364,0.0,-0.003251053582179364,0.0,-0.006639999999999757,0.0,-0.006639999999999757,0.0,-0.006639999999999757
2019-01-15,54.3255,5.7933436362481325,32.872738439507145,40.59825577207328,,0.0332854656636645,5.698892212825529,,5.702655585025935,5.638221152790851,32.33679976016079,,32.35815398282772,31.99253848159815,39.93636459369488,,39.962737333989736,39.51119747641236,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27162.75,0.0,27162.75,0.0,27162.75,100000.0,73048.25,100000.0,73048.25,100000.0,73048.25,100000.0,100211.0,100000.0,100211.0,100000.0,100211.0,0.0,0.008808488362728628,0.0,0.008808488362728628,0.0,0.008808488362728628,0.0,0.0021100000000002783,0.0,0.0021100000000002783,0.0,0.0021100000000002783
